Waypoint,Is_Keypoint
C00010247,1
C00010246,1
C00010245,1
C00010244,0
C00010243,1
C00010242,1
C00010241,1
C00010240,1
C00010239,0
C00010238,0
C00010237,0
C00010236,0
C00010235,1
C00010234,0
C00010233,0
C00010232,1
C00010231,1
C00010230,1
C00010229,0
C00010228,0
C00010227,1
C00010226,1
C00010225,0
C00010224,0
C00010223,0
C00010222,0
C00010221,0
C00010220,1
C00010219,0
C00010218,0
C00010217,0
C00010216,1
C00010212,1
C00010215,1
C00010214,1
C00010213,1
C00010200,1
C00010213,1
C00010212,0
C00010211,1
C00010210,0
C00010209,0
C00010208,1
C00010207,1
C00010206,1
C00010205,1
C00010204,0
C00010203,0
C00010202,1
C00010201,1
C00010191,1
C00010200,1
C00010199,1
C00010198,0
C00010197,0
C00010196,0
C00010195,1
C00010194,1
C00010193,1
C00010192,1
C00010191,1
C00010190,1
C00010189,0
C00010188,1
C00010187,0
C00010186,0
C00010185,1
C00010184,0
C00010183,1
C00010182,1
C00010181,1
C00010180,0
C00010179,0
C00010178,0
C00010177,0
C00010176,1
C00010175,1
C00010174,1
C00010173,0
C00010172,0
C00010171,0
C00010170,0
C00010169,0
C00010168,1
C00010167,1
C00010166,0
C00010165,1
C00010164,1
C00010163,1
C00010162,0
C00010161,0
C00010160,0
C00010159,1
C00010158,0
C00010157,1
C00010156,1
C00010155,1
C00006032,0
C00001605,1
C00001604,0
C00010154,1
C00010153,0
C00010152,0
C00010151,1
C00010150,0
C00010149,0
C00010148,1
C00010147,0
C00010146,1
C00001392,1
C00008411,0
C00000816,0
C00000817,0
C00000818,1
C00000819,0
C00000820,1
C00000821,1
C00001392,1
C00000820,0
C00010145,1
C00010144,1
C00010143,1
C00010142,0
C00010141,0
C00010140,1
